Gutenberg Link,Date,Title,Author
https://www.gutenberg.org/files/1232/1232-h/1232-h.htm,1532,The Prince,Niccolò Machiavelli
    https://www.gutenberg.org/cache/epub/53489/pg53489-images.html,1554,The Life of Lazarillo de Tormes,Anonymous
    https://www.gutenberg.org/cache/epub/29622/pg29622.html,1549,The Book of Common Prayer,Thomas Cranmer
    https://www.gutenberg.org/files/15272/15272-h/15272-h.htm,1590,The Faerie Queene,Edmund Spencer
    https://www.gutenberg.org/files/49065/49065-h/49065-h.htm,1511,The Book of Luther,Martin Luther
    https://www.gutenberg.org/cache/epub/9371/pg9371-images.html,1635,Four Plays,William Wycherley
    https://www.gutenberg.org/files/55426/55426-h/55426-h.htm,1619, The Maids Tragedy,Francis Beaumont and John Fletcher
    https://www.gutenberg.org/cache/epub/10847/pg10847.html,1605, The History of Don Quixote,Miguel de Cervantes
    https://www.gutenberg.org/files/996/996-h/996-h.htm,1617,The Poems ,John Donne
    https://www.gutenberg.org/files/48688/48688-h/48688-h.htm,1603,The Revenge of Bussy D'Ambois,George Chapman
    https://www.gutenberg.org/files/20890/20890-h/20890-h.htm,1698,"A Short View of the Immorality, and Profaneness of the English Stage",by Jeremy Collier
    https://www.gutenberg.org/files/19116/19116-h/19116-h.htm,1620,A Journal of the Pilgrims at Plymouth,Dwight B. Heath
    https://www.gutenberg.org/files/66359/66359-h/66359-h.htm,1651,Leviathan ,Thomas Hobbes
    https://www.gutenberg.org/cache/epub/20/pg20-images.html,1644,Principles of Philosophy,René Descartes 
    https://www.gutenberg.org/cache/epub/4391/pg4391.html,1700,The Way of the World ,William Congreve 
https://www.gutenberg.org/files/1292/1292-h/1292-h.htm,1759,"The Life and Opinions of Tristram Shandy, Gentleman ",Laurence Sterne 
    https://www.gutenberg.org/cache/epub/1079/pg1079-images.html,1796,The Monk: A Romance,M. G. Lewis 
    https://www.gutenberg.org/cache/epub/601/pg601-images.html,1719,The Life and Adventures of Robinson Crusoe ,Daniel Defoe 
    https://www.gutenberg.org/cache/epub/521/pg521-images.html,1764,The Castle of Otranto ,Horace Walpole
    https://www.gutenberg.org/cache/epub/696/pg696-images.html,1740,"Pamela; or, Virtue Rewarded",Samuel Richardson
    https://www.gutenberg.org/files/6124/6124-h/6124-h.htm,1719,Love in Excess,Eliza Haywood
    https://www.gutenberg.org/cache/epub/67612/pg67612-images.html,1726,Gulliver’s Travels,Jonathan Swift
    https://www.gutenberg.org/files/829/829-h/829-h.htm,1759,"Rasselas, Prince of Abyssinia ",Samuel Johnson
    https://www.gutenberg.org/cache/epub/652/pg652-images.html,1778,Evelina ,Fanny Burney 
 https://www.gutenberg.org/cache/epub/7371/pg7371-images.html,1790,A Sicilian Romance,Ann Ward Radcliffe 
    https://www.gutenberg.org/cache/epub/345/pg345-images.html,1897,Dracula  ,Bram Stoker 
    https://www.gutenberg.org/cache/epub/84/pg84-images.html,1847,Jane Eyre: An Autobiography ,Charlotte Brontë 
    https://www.gutenberg.org/cache/epub/1260/pg1260-images.html,1831,Notre-Dame de Paris ,Victor Hugo 
    https://www.gutenberg.org/cache/epub/2610/pg2610-images.html,1902,The Hound of the Baskervilles ,Arthur Conan Doyle 
    https://www.gutenberg.org/cache/epub/2852/pg2852-images.html,1851,The House of the Seven Gables ,Nathaniel Hawthorne 
    https://www.gutenberg.org/cache/epub/77/pg77-images.html,1819,The Legend of Sleepy Hollow ,Washington Irving 
    https://www.gutenberg.org/cache/epub/41/pg41-images.html,1850,The Scarlet Letter  ,Nathaniel Hawthorne 
    https://www.gutenberg.org/cache/epub/4274/pg4274-images.html,1866,Wives and Daughters ,Elizabeth Cleghorn Gaskell 
    https://www.gutenberg.org/cache/epub/209/pg209-images.html,1898,The Turn of the Screw  ,Henry James 
